epoch,loss,calssify loss,loss z,loss y,loss x,loss d,true positive,total positive,true negative,total negative,time,,false negative,false positive,,ACC,TPR,TNR,FPR,FNR,PPV,NPV,F1_Score
58,0.020605342,0.007943111,0.002715675,0.002673183,0.0031878909,0.004085482,1461.0,1540.0,6111.0,6160.0,1021.805,,79.0,49.0,,0.9833766,0.9487013,0.99204546,0.007954537868499756,0.051298677921295166,0.9675497,0.98723745,0.9580328140943165
59,0.02028817,0.007485626,0.002818831,0.0027563083,0.0030792155,0.004148189,1473.0,1540.0,6111.0,6160.0,1020.004,,67.0,49.0,,0.98493505,0.9564935,0.99204546,0.007954537868499756,0.043506503105163574,0.9678055,0.98915505,0.9621162308212207
60,0.01992067,0.0075285155,0.002569472,0.0025811642,0.0031154293,0.004126088,1466.0,1540.0,6108.0,6160.0,1019.677,,74.0,52.0,,0.9836364,0.95194805,0.99155843,0.008441567420959473,0.04805195331573486,0.9657444,0.9880298,0.9587965763170605
61,0.020466482,0.0073084817,0.0028869808,0.0028297338,0.0031616169,0.004279668,1474.0,1540.0,6118.0,6160.0,1019.613,,66.0,42.0,,0.985974,0.95714283,0.9931818,0.006818175315856934,0.04285717010498047,0.9722955,0.9893273,0.9646596646760128
62,0.018525887,0.006764368,0.0025878332,0.0025324682,0.0028870949,0.0037541236,1474.0,1540.0,6105.0,6160.0,1019.423,,66.0,55.0,,0.9842857,0.95714283,0.9910714,0.00892859697341919,0.04285717010498047,0.9640288,0.98930484,0.960573421769084
63,0.018826183,0.006744375,0.0027178796,0.002399662,0.002931833,0.004032434,1482.0,1540.0,6120.0,6160.0,1020.175,,58.0,40.0,,0.98727274,0.9623377,0.9935065,0.006493508815765381,0.0376623272895813,0.97371876,0.99061185,0.9679947771103647
64,0.01839999,0.006335162,0.0025663406,0.002661939,0.0029700075,0.0038665393,1472.0,1540.0,6119.0,6160.0,1020.087,,68.0,41.0,,0.98584414,0.95584416,0.9933441,0.006655871868133545,0.04415583610534668,0.9729015,0.9890092,0.9642973957402371
65,0.019240456,0.0071996045,0.0025928046,0.0024062567,0.0031761993,0.0038655913,1477.0,1540.0,6107.0,6160.0,1019.697,,63.0,53.0,,0.98493505,0.9590909,0.9913961,0.008603870868682861,0.04090911149978638,0.96535945,0.9897893,0.9622149155137746
66,0.018703245,0.0071496535,0.0024355957,0.0023815704,0.0030221404,0.0037142844,1455.0,1540.0,6116.0,6160.0,1019.651,,85.0,44.0,,0.98324674,0.9448052,0.99285716,0.007142841815948486,0.05519479513168335,0.9706471,0.98629254,0.9575518462870686
67,0.018973462,0.0067288843,0.002604105,0.0026340608,0.0030129005,0.0039935107,1473.0,1540.0,6119.0,6160.0,1019.928,,67.0,41.0,,0.985974,0.9564935,0.9933441,0.006655871868133545,0.043506503105163574,0.9729194,0.9891691,0.9646365839963305
68,0.019651918,0.0069216513,0.0026946594,0.0026096622,0.003299442,0.004126503,1467.0,1540.0,6117.0,6160.0,1019.554,,73.0,43.0,,0.98493505,0.9525974,0.99301946,0.006980538368225098,0.04740262031555176,0.97152317,0.9882068,0.9619671844325396
69,0.020133523,0.0073950533,0.0026764532,0.0025154853,0.003282391,0.0042641386,1468.0,1540.0,6105.0,6160.0,1019.992,,72.0,55.0,,0.9835065,0.9532468,0.9910714,0.00892859697341919,0.04675322771072388,0.96388704,0.98834383,0.9585374009985274
70,0.01878001,0.006792823,0.0027664648,0.0024250324,0.0029364831,0.0038592063,1471.0,1540.0,6114.0,6160.0,1019.865,,69.0,46.0,,0.9850649,0.95519483,0.9925325,0.007467508316040039,0.044805169105529785,0.969677,0.98884034,0.9623814214347624
71,0.01925346,0.0070302766,0.00261342,0.0024475227,0.0029923904,0.0041698506,1468.0,1540.0,6107.0,6160.0,1019.802,,72.0,53.0,,0.98376626,0.9532468,0.9913961,0.008603870868682861,0.04675322771072388,0.9651545,0.98834765,0.9591636986572062
72,0.018826008,0.006731433,0.0027871113,0.0026052403,0.0028844238,0.0038178004,1468.0,1540.0,6110.0,6160.0,1019.907,,72.0,50.0,,0.98415583,0.9532468,0.9918831,0.00811690092086792,0.04675322771072388,0.96706194,0.9883533,0.9601046439638862
73,0.019018566,0.007040233,0.0025873221,0.0024795297,0.0028890078,0.0040224725,1474.0,1540.0,6119.0,6160.0,1019.45,,66.0,41.0,,0.9861039,0.95714283,0.9933441,0.006655871868133545,0.04285717010498047,0.9729373,0.98932904,0.9649754185832521
74,0.019060144,0.0068991478,0.002766107,0.002364357,0.003105311,0.0039252215,1471.0,1540.0,6117.0,6160.0,1019.454,,69.0,43.0,,0.98545456,0.95519483,0.99301946,0.006980538368225098,0.044805169105529785,0.9715984,0.98884577,0.9633268046817467
75,0.01788739,0.006389405,0.002452436,0.0024297442,0.0027684825,0.0038473215,1481.0,1540.0,6120.0,6160.0,1019.263,,59.0,40.0,,0.98714286,0.96168834,0.9935065,0.006493508815765381,0.038311660289764404,0.97370154,0.9904515,0.9676576742659649
76,0.019226616,0.0068292106,0.0026603402,0.0026514877,0.0032074228,0.0038781567,1480.0,1540.0,6114.0,6160.0,1019.174,,60.0,46.0,,0.9862338,0.96103895,0.9925325,0.007467508316040039,0.038961052894592285,0.96985584,0.9902818,0.9654272382438793
77,0.019382935,0.0071758716,0.0026496502,0.0024783085,0.0031922653,0.003886839,1469.0,1540.0,6109.0,6160.0,1019.831,,71.0,51.0,,0.98415583,0.9538961,0.9917208,0.008279204368591309,0.04610389471054077,0.96644735,0.9885113,0.9601307541718274
78,0.017752735,0.006062127,0.0025777034,0.0024113643,0.0028645569,0.0038369822,1482.0,1540.0,6123.0,6160.0,1019.932,,58.0,37.0,,0.9876623,0.9623377,0.9939935,0.006006479263305664,0.0376623272895813,0.97564185,0.9906164,0.9689441131331523
79,0.018145116,0.006281917,0.0026278712,0.0024692803,0.0030410488,0.0037249967,1483.0,1540.0,6116.0,6160.0,1019.608,,57.0,44.0,,0.9868831,0.962987,0.99285716,0.007142841815948486,0.03701299428939819,0.9711853,0.9907662,0.9670687495246537
80,0.01874016,0.006502797,0.002636126,0.0023762311,0.0030981817,0.004126825,1469.0,1540.0,6118.0,6160.0,1019.019,,71.0,42.0,,0.9853247,0.9538961,0.9931818,0.006818175315856934,0.04610389471054077,0.97220385,0.988528,0.962962928578776
81,0.01916313,0.0070702443,0.0024811535,0.0023807003,0.003195743,0.0040352875,1471.0,1540.0,6116.0,6160.0,1019.378,,69.0,44.0,,0.9853247,0.95519483,0.99285716,0.007142841815948486,0.044805169105529785,0.9709571,0.988844,0.9630114594038991
82,0.018482545,0.0063616307,0.0025296737,0.0025208155,0.0031847383,0.003885687,1480.0,1540.0,6109.0,6160.0,1019.119,,60.0,51.0,,0.98558444,0.96103895,0.9917208,0.008279204368591309,0.038961052894592285,0.96668845,0.99027395,0.963855370278184
83,0.01929565,0.0070542,0.0027217418,0.0025944037,0.0031046623,0.003820643,1470.0,1540.0,6114.0,6160.0,1019.548,,70.0,46.0,,0.98493505,0.95454544,0.9925325,0.007467508316040039,0.045454561710357666,0.969657,0.9886805,0.9620419071975259
84,0.018089235,0.005906955,0.0023375733,0.0025591806,0.0030443736,0.004241153,1484.0,1540.0,6121.0,6160.0,1019.867,,56.0,39.0,,0.9876623,0.96363634,0.99366885,0.006331145763397217,0.03636366128921509,0.97439265,0.99093413,0.9689846436378439
85,0.01873638,0.006998607,0.00247312,0.0023216978,0.0030082369,0.0039347163,1465.0,1540.0,6105.0,6160.0,1018.649,,75.0,55.0,,0.98311687,0.9512987,0.9910714,0.00892859697341919,0.04870128631591797,0.9638158,0.9878641,0.9575163498368673
86,0.018839275,0.0072951918,0.002387758,0.002443426,0.0029212201,0.0037916803,1471.0,1540.0,6115.0,6160.0,1019.037,,69.0,45.0,,0.9851948,0.95519483,0.9926948,0.00730520486831665,0.044805169105529785,0.97031665,0.9888422,0.9626963513259764
87,0.018428111,0.0062039145,0.0028178955,0.0024989976,0.0030244787,0.003882824,1477.0,1540.0,6111.0,6160.0,1019.037,,63.0,49.0,,0.98545456,0.9590909,0.99204546,0.007954537868499756,0.04090911149978638,0.9678899,0.9897959,0.9634703080529989
88,0.017716227,0.0061431513,0.0024033412,0.0024061813,0.0029652629,0.0037982892,1476.0,1540.0,6123.0,6160.0,1019.449,,64.0,37.0,,0.9868831,0.95844156,0.9939935,0.006006479263305664,0.04155844449996948,0.9755453,0.98965573,0.9669177804140153
89,0.018505303,0.006397199,0.0026385747,0.0023986446,0.0029710196,0.004099864,1480.0,1540.0,6107.0,6160.0,1019.431,,60.0,53.0,,0.9853247,0.96103895,0.9913961,0.008603870868682861,0.038961052894592285,0.9654273,0.9902708,0.9632281315341171
90,0.017835375,0.0062268605,0.0024500384,0.0023831737,0.0029922114,0.0037830905,1476.0,1540.0,6110.0,6160.0,1019.713,,64.0,50.0,,0.9851948,0.95844156,0.9918831,0.00811690092086792,0.04155844449996948,0.9672346,0.989634,0.9628180269314689
91,0.017849352,0.0060738353,0.0026330054,0.0024160007,0.0029429798,0.0037835327,1480.0,1540.0,6118.0,6160.0,1019.589,,60.0,42.0,,0.9867532,0.96103895,0.9931818,0.006818175315856934,0.038961052894592285,0.9724047,0.99028814,0.9666884334518103
92,0.018960008,0.0065083704,0.0028563512,0.0026581504,0.0031107995,0.0038263374,1471.0,1540.0,6118.0,6160.0,1019.535,,69.0,42.0,,0.98558444,0.95519483,0.9931818,0.006818175315856934,0.044805169105529785,0.97224057,0.9888476,0.9636423292203977
93,0.018292256,0.006334631,0.002608277,0.0023753194,0.0030401407,0.00393389,1478.0,1540.0,6112.0,6160.0,1020.002,,62.0,48.0,,0.98571426,0.9597403,0.99220777,0.007792234420776367,0.040259718894958496,0.9685452,0.98995787,0.9641226360813993
94,0.01747841,0.0057658455,0.002753508,0.0024722146,0.0029444997,0.0035423427,1475.0,1540.0,6117.0,6160.0,1019.994,,65.0,43.0,,0.985974,0.9577922,0.99301946,0.006980538368225098,0.04220777750015259,0.97167325,0.9894856,0.9646827752937346
95,0.017482357,0.0056869783,0.002509099,0.0022554991,0.0031124465,0.0039183325,1478.0,1540.0,6123.0,6160.0,1019.489,,62.0,37.0,,0.98714286,0.9597403,0.9939935,0.006006479263305664,0.040259718894958496,0.97557753,0.98997575,0.9675941330817558
96,0.017800769,0.0060968474,0.0026591169,0.0022939565,0.0029701001,0.003780749,1481.0,1540.0,6125.0,6160.0,1019.113,,59.0,35.0,,0.9877922,0.96168834,0.9943182,0.005681812763214111,0.038311660289764404,0.9769129,0.99045926,0.9692408748010566
97,0.019564368,0.0071235704,0.002517119,0.0025910682,0.0031934895,0.0041391198,1482.0,1540.0,6115.0,6160.0,1019.408,,58.0,45.0,,0.9866234,0.9623377,0.9926948,0.00730520486831665,0.0376623272895813,0.97053045,0.9906042,0.9664167047971228
98,0.01811385,0.0060369004,0.0024701646,0.0024872974,0.0030248025,0.0040946836,1474.0,1540.0,6131.0,6160.0,1019.015,,66.0,29.0,,0.9876623,0.95714283,0.9952922,0.004707813262939453,0.04285717010498047,0.98070526,0.98934966,0.9687807735406975
99,0.018325882,0.006455934,0.0026019632,0.0026246626,0.0030146586,0.0036286644,1481.0,1540.0,6110.0,6160.0,1019.288,,59.0,50.0,,0.98584414,0.96168834,0.9918831,0.00811690092086792,0.038311660289764404,0.9673416,0.9904361,0.9645067110883806
100,0.018827721,0.006856212,0.0027364295,0.0026726865,0.0028051562,0.0037572384,1480.0,1540.0,6108.0,6160.0,1019.328,,60.0,52.0,,0.98545456,0.96103895,0.99155843,0.008441567420959473,0.038961052894592285,0.9660574,0.9902724,0.9635416589342245
