epoch,loss,calssify loss,"regression 
loss z","regression 
loss h","regression 
loss w","regression 
loss d","true 
positive","total
positive","true 
negative","total 
negative",time,,"false 
negative","false 
positive",,Accuracy,"True Positive Rate
(Sensitivity)","True Negative Rate
(Specificity)","False Negative 
Rate","False Positive 
Rate","Positive 
Predictive
Value","Negative 
Predictive
Value",F1,
0,0.1522 ,0.1078 ,0.0099 ,0.0098 ,0.0097 ,0.0150 ,236,1599,5945,6396,1063.36 ,,1363,451,,0.7731 ,0.1476 ,0.9295 ,0.8524 ,0.0705 ,0.3435 ,0.8135 ,0.2065 ,
1,0.1017 ,0.0607 ,0.0092 ,0.0088 ,0.0094 ,0.0136 ,578,1599,6190,6396,1058.60 ,,1021,206,,0.8465 ,0.3615 ,0.9678 ,0.6385 ,0.0322 ,0.7372 ,0.8584 ,0.4851 ,
2,0.0834 ,0.0443 ,0.0088 ,0.0094 ,0.0095 ,0.0116 ,881,1599,6252,6396,1060.69 ,,718,144,,0.8922 ,0.5510 ,0.9775 ,0.4490 ,0.0225 ,0.8595 ,0.8970 ,0.6715 ,
3,0.0727 ,0.0343 ,0.0091 ,0.0090 ,0.0087 ,0.0115 ,1071,1599,6277,6396,1058.93 ,,528,119,,0.9191 ,0.6698 ,0.9814 ,0.3302 ,0.0186 ,0.9000 ,0.9224 ,0.7680 ,
4,0.0654 ,0.0282 ,0.0088 ,0.0090 ,0.0096 ,0.0097 ,1189,1599,6315,6396,1059.55 ,,410,81,,0.9386 ,0.7436 ,0.9873 ,0.2564 ,0.0127 ,0.9362 ,0.9390 ,0.8289 ,
5,0.0629 ,0.0262 ,0.0090 ,0.0090 ,0.0095 ,0.0092 ,1215,1599,6310,6396,1060.38 ,,384,86,,0.9412 ,0.7598 ,0.9866 ,0.2402 ,0.0134 ,0.9339 ,0.9426 ,0.8379 ,
6,0.0587 ,0.0223 ,0.0096 ,0.0094 ,0.0087 ,0.0087 ,1279,1599,6332,6396,1059.15 ,,320,64,,0.9520 ,0.7999 ,0.9900 ,0.2001 ,0.0100 ,0.9523 ,0.9519 ,0.8695 ,
7,0.0601 ,0.0246 ,0.0088 ,0.0087 ,0.0089 ,0.0091 ,1250,1599,6319,6396,1059.85 ,,349,77,,0.9467 ,0.7817 ,0.9880 ,0.2183 ,0.0120 ,0.9420 ,0.9477 ,0.8544 ,
8,0.0572 ,0.0207 ,0.0091 ,0.0092 ,0.0091 ,0.0091 ,1294,1599,6323,6396,1059.74 ,,305,73,,0.9527 ,0.8093 ,0.9886 ,0.1907 ,0.0114 ,0.9466 ,0.9540 ,0.8726 ,
9,0.0541 ,0.0189 ,0.0085 ,0.0091 ,0.0092 ,0.0084 ,1336,1599,6332,6396,1059.54 ,,263,64,,0.9591 ,0.8355 ,0.9900 ,0.1645 ,0.0100 ,0.9543 ,0.9601 ,0.8910 ,
10,0.0535 ,0.0191 ,0.0092 ,0.0092 ,0.0090 ,0.0070 ,1327,1599,6312,6396,1059.02 ,,272,84,,0.9555 ,0.8299 ,0.9869 ,0.1701 ,0.0131 ,0.9405 ,0.9587 ,0.8817 ,
11,0.0523 ,0.0166 ,0.0092 ,0.0090 ,0.0093 ,0.0082 ,1371,1599,6336,6396,1059.47 ,,228,60,,0.9640 ,0.8574 ,0.9906 ,0.1426 ,0.0094 ,0.9581 ,0.9653 ,0.9050 ,
12,0.0503 ,0.0159 ,0.0088 ,0.0090 ,0.0091 ,0.0076 ,1372,1599,6334,6396,1059.44 ,,227,62,,0.9639 ,0.8580 ,0.9903 ,0.1420 ,0.0097 ,0.9568 ,0.9654 ,0.9047 ,
13,0.0501 ,0.0156 ,0.0088 ,0.0088 ,0.0096 ,0.0073 ,1370,1599,6324,6396,1059.17 ,,229,72,,0.9624 ,0.8568 ,0.9887 ,0.1432 ,0.0113 ,0.9501 ,0.9651 ,0.9010 ,
14,0.0502 ,0.0155 ,0.0089 ,0.0092 ,0.0093 ,0.0073 ,1391,1599,6328,6396,1061.00 ,,208,68,,0.9655 ,0.8699 ,0.9894 ,0.1301 ,0.0106 ,0.9534 ,0.9682 ,0.9097 ,
15,0.0482 ,0.0147 ,0.0093 ,0.0082 ,0.0089 ,0.0071 ,1404,1599,6333,6396,1059.16 ,,195,63,,0.9677 ,0.8780 ,0.9902 ,0.1220 ,0.0098 ,0.9571 ,0.9701 ,0.9159 ,
16,0.0447 ,0.0132 ,0.0087 ,0.0074 ,0.0085 ,0.0067 ,1419,1599,6338,6396,1059.95 ,,180,58,,0.9702 ,0.8874 ,0.9909 ,0.1126 ,0.0091 ,0.9607 ,0.9724 ,0.9226 ,
17,0.0428 ,0.0129 ,0.0089 ,0.0065 ,0.0080 ,0.0066 ,1419,1599,6332,6396,1061.09 ,,180,64,,0.9695 ,0.8874 ,0.9900 ,0.1126 ,0.0100 ,0.9568 ,0.9724 ,0.9208 ,
18,0.0433 ,0.0130 ,0.0094 ,0.0061 ,0.0078 ,0.0069 ,1417,1599,6328,6396,1059.40 ,,182,68,,0.9687 ,0.8862 ,0.9894 ,0.1138 ,0.0106 ,0.9542 ,0.9720 ,0.9189 ,
19,0.0403 ,0.0121 ,0.0084 ,0.0058 ,0.0071 ,0.0069 ,1434,1599,6340,6396,1061.64 ,,165,56,,0.9724 ,0.8968 ,0.9912 ,0.1032 ,0.0088 ,0.9624 ,0.9746 ,0.9285 ,
20,0.0394 ,0.0121 ,0.0080 ,0.0059 ,0.0067 ,0.0066 ,1429,1599,6327,6396,1061.08 ,,170,69,,0.9701 ,0.8937 ,0.9892 ,0.1063 ,0.0108 ,0.9539 ,0.9738 ,0.9228 ,
21,0.0293 ,0.0097 ,0.0055 ,0.0041 ,0.0046 ,0.0056 ,1467,1599,6349,6396,1059.87 ,,132,47,,0.9776 ,0.9174 ,0.9927 ,0.0826 ,0.0073 ,0.9690 ,0.9796 ,0.9425 ,
22,0.0271 ,0.0083 ,0.0049 ,0.0039 ,0.0051 ,0.0050 ,1496,1599,6344,6396,1060.23 ,,103,52,,0.9806 ,0.9356 ,0.9919 ,0.0644 ,0.0081 ,0.9664 ,0.9840 ,0.9507 ,
23,0.0253 ,0.0074 ,0.0047 ,0.0038 ,0.0046 ,0.0049 ,1509,1599,6346,6396,1061.56 ,,90,50,,0.9825 ,0.9437 ,0.9922 ,0.0563 ,0.0078 ,0.9679 ,0.9860 ,0.9557 ,
24,0.0236 ,0.0071 ,0.0044 ,0.0035 ,0.0041 ,0.0045 ,1518,1599,6356,6396,1058.95 ,,81,40,,0.9849 ,0.9493 ,0.9937 ,0.0507 ,0.0063 ,0.9743 ,0.9874 ,0.9617 ,
25,0.0247 ,0.0081 ,0.0043 ,0.0035 ,0.0044 ,0.0044 ,1500,1599,6348,6396,1058.70 ,,99,48,,0.9816 ,0.9381 ,0.9925 ,0.0619 ,0.0075 ,0.9690 ,0.9846 ,0.9533 ,
26,0.0234 ,0.0070 ,0.0044 ,0.0038 ,0.0039 ,0.0043 ,1514,1599,6356,6396,1060.15 ,,85,40,,0.9844 ,0.9468 ,0.9937 ,0.0532 ,0.0063 ,0.9743 ,0.9868 ,0.9604 ,
27,0.0231 ,0.0073 ,0.0038 ,0.0034 ,0.0041 ,0.0045 ,1516,1599,6346,6396,1058.45 ,,83,50,,0.9834 ,0.9481 ,0.9922 ,0.0519 ,0.0078 ,0.9681 ,0.9871 ,0.9580 ,
28,0.0236 ,0.0076 ,0.0039 ,0.0037 ,0.0042 ,0.0043 ,1511,1599,6352,6396,1058.88 ,,88,44,,0.9835 ,0.9450 ,0.9931 ,0.0550 ,0.0069 ,0.9717 ,0.9863 ,0.9581 ,
29,0.0225 ,0.0072 ,0.0040 ,0.0032 ,0.0037 ,0.0043 ,1517,1599,6356,6396,1059.18 ,,82,40,,0.9847 ,0.9487 ,0.9937 ,0.0513 ,0.0063 ,0.9743 ,0.9873 ,0.9613 ,
30,0.0226 ,0.0075 ,0.0040 ,0.0031 ,0.0038 ,0.0042 ,1515,1599,6347,6396,1059.17 ,,84,49,,0.9834 ,0.9475 ,0.9923 ,0.0525 ,0.0077 ,0.9687 ,0.9869 ,0.9580 ,
31,0.0207 ,0.0069 ,0.0035 ,0.0030 ,0.0034 ,0.0039 ,1527,1599,6349,6396,1059.94 ,,72,47,,0.9851 ,0.9550 ,0.9927 ,0.0450 ,0.0073 ,0.9701 ,0.9888 ,0.9625 ,
32,0.0223 ,0.0072 ,0.0036 ,0.0032 ,0.0039 ,0.0043 ,1514,1599,6356,6396,1060.81 ,,85,40,,0.9844 ,0.9468 ,0.9937 ,0.0532 ,0.0063 ,0.9743 ,0.9868 ,0.9604 ,
33,0.0220 ,0.0070 ,0.0039 ,0.0030 ,0.0040 ,0.0041 ,1527,1599,6345,6396,1060.85 ,,72,51,,0.9846 ,0.9550 ,0.9920 ,0.0450 ,0.0080 ,0.9677 ,0.9888 ,0.9613 ,
34,0.0227 ,0.0080 ,0.0036 ,0.0033 ,0.0037 ,0.0041 ,1502,1599,6342,6396,1059.81 ,,97,54,,0.9811 ,0.9393 ,0.9916 ,0.0607 ,0.0084 ,0.9653 ,0.9849 ,0.9521 ,
35,0.0215 ,0.0067 ,0.0036 ,0.0034 ,0.0037 ,0.0040 ,1531,1599,6361,6396,1061.42 ,,68,35,,0.9871 ,0.9575 ,0.9945 ,0.0425 ,0.0055 ,0.9777 ,0.9894 ,0.9675 ,
36,0.0216 ,0.0072 ,0.0036 ,0.0031 ,0.0037 ,0.0041 ,1517,1599,6353,6396,1058.97 ,,82,43,,0.9844 ,0.9487 ,0.9933 ,0.0513 ,0.0067 ,0.9724 ,0.9873 ,0.9604 ,
37,0.0209 ,0.0067 ,0.0030 ,0.0032 ,0.0039 ,0.0041 ,1520,1599,6348,6396,1058.79 ,,79,48,,0.9841 ,0.9506 ,0.9925 ,0.0494 ,0.0075 ,0.9694 ,0.9877 ,0.9599 ,
38,0.0214 ,0.0073 ,0.0034 ,0.0030 ,0.0037 ,0.0041 ,1519,1599,6348,6396,1060.12 ,,80,48,,0.9840 ,0.9500 ,0.9925 ,0.0500 ,0.0075 ,0.9694 ,0.9876 ,0.9596 ,
39,0.0207 ,0.0064 ,0.0033 ,0.0033 ,0.0036 ,0.0041 ,1526,1599,6361,6396,1058.91 ,,73,35,,0.9865 ,0.9543 ,0.9945 ,0.0457 ,0.0055 ,0.9776 ,0.9887 ,0.9658 ,
40,0.0207 ,0.0068 ,0.0033 ,0.0030 ,0.0037 ,0.0039 ,1527,1599,6345,6396,1059.25 ,,72,51,,0.9846 ,0.9550 ,0.9920 ,0.0450 ,0.0080 ,0.9677 ,0.9888 ,0.9613 ,
41,0.0204 ,0.0066 ,0.0031 ,0.0031 ,0.0036 ,0.0039 ,1530,1599,6352,6396,1060.50 ,,69,44,,0.9859 ,0.9568 ,0.9931 ,0.0432 ,0.0069 ,0.9720 ,0.9893 ,0.9644 ,
42,0.0202 ,0.0065 ,0.0032 ,0.0030 ,0.0035 ,0.0040 ,1526,1599,6348,6396,1058.35 ,,73,48,,0.9849 ,0.9543 ,0.9925 ,0.0457 ,0.0075 ,0.9695 ,0.9886 ,0.9619 ,
43,0.0197 ,0.0066 ,0.0028 ,0.0031 ,0.0035 ,0.0037 ,1527,1599,6355,6396,1059.62 ,,72,41,,0.9859 ,0.9550 ,0.9936 ,0.0450 ,0.0064 ,0.9739 ,0.9888 ,0.9643 ,
44,0.0199 ,0.0066 ,0.0032 ,0.0028 ,0.0033 ,0.0040 ,1524,1599,6349,6396,1059.72 ,,75,47,,0.9847 ,0.9531 ,0.9927 ,0.0469 ,0.0073 ,0.9701 ,0.9883 ,0.9615 ,
45,0.0187 ,0.0057 ,0.0030 ,0.0029 ,0.0034 ,0.0036 ,1540,1599,6360,6396,1060.32 ,,59,36,,0.9881 ,0.9631 ,0.9944 ,0.0369 ,0.0056 ,0.9772 ,0.9908 ,0.9701 ,
46,0.0202 ,0.0067 ,0.0032 ,0.0029 ,0.0036 ,0.0039 ,1532,1599,6338,6396,1058.97 ,,67,58,,0.9844 ,0.9581 ,0.9909 ,0.0419 ,0.0091 ,0.9635 ,0.9895 ,0.9608 ,
47,0.0191 ,0.0059 ,0.0029 ,0.0031 ,0.0034 ,0.0038 ,1526,1599,6357,6396,1059.09 ,,73,39,,0.9860 ,0.9543 ,0.9939 ,0.0457 ,0.0061 ,0.9751 ,0.9886 ,0.9646 ,
48,0.0196 ,0.0066 ,0.0029 ,0.0028 ,0.0035 ,0.0038 ,1535,1599,6351,6396,1059.61 ,,64,45,,0.9864 ,0.9600 ,0.9930 ,0.0400 ,0.0070 ,0.9715 ,0.9900 ,0.9657 ,
49,0.0189 ,0.0058 ,0.0033 ,0.0027 ,0.0034 ,0.0037 ,1526,1599,6363,6396,1061.28 ,,73,33,,0.9867 ,0.9543 ,0.9948 ,0.0457 ,0.0052 ,0.9788 ,0.9887 ,0.9664 ,
50,0.0184 ,0.0058 ,0.0030 ,0.0028 ,0.0032 ,0.0037 ,1544,1599,6358,6396,1059.13 ,,55,38,,0.9884 ,0.9656 ,0.9941 ,0.0344 ,0.0059 ,0.9760 ,0.9914 ,0.9708 ,
51,0.0189 ,0.0063 ,0.0027 ,0.0027 ,0.0033 ,0.0038 ,1535,1599,6363,6396,1059.59 ,,64,33,,0.9879 ,0.9600 ,0.9948 ,0.0400 ,0.0052 ,0.9790 ,0.9900 ,0.9694 ,
52,0.0188 ,0.0064 ,0.0029 ,0.0029 ,0.0032 ,0.0035 ,1535,1599,6349,6396,1059.06 ,,64,47,,0.9861 ,0.9600 ,0.9927 ,0.0400 ,0.0073 ,0.9703 ,0.9900 ,0.9651 ,
53,0.0190 ,0.0058 ,0.0031 ,0.0029 ,0.0034 ,0.0037 ,1535,1599,6354,6396,1061.09 ,,64,42,,0.9867 ,0.9600 ,0.9934 ,0.0400 ,0.0066 ,0.9734 ,0.9900 ,0.9666 ,
54,0.0190 ,0.0064 ,0.0030 ,0.0028 ,0.0033 ,0.0034 ,1535,1599,6350,6396,1058.67 ,,64,46,,0.9862 ,0.9600 ,0.9928 ,0.0400 ,0.0072 ,0.9709 ,0.9900 ,0.9654 ,
55,0.0185 ,0.0058 ,0.0031 ,0.0026 ,0.0032 ,0.0037 ,1534,1599,6352,6396,1059.56 ,,65,44,,0.9864 ,0.9593 ,0.9931 ,0.0407 ,0.0069 ,0.9721 ,0.9899 ,0.9657 ,
56,0.0188 ,0.0058 ,0.0030 ,0.0028 ,0.0034 ,0.0038 ,1543,1599,6357,6396,1059.09 ,,56,39,,0.9881 ,0.9650 ,0.9939 ,0.0350 ,0.0061 ,0.9753 ,0.9913 ,0.9701 ,
57,0.0187 ,0.0058 ,0.0030 ,0.0029 ,0.0032 ,0.0037 ,1545,1599,6358,6396,1059.10 ,,54,38,,0.9885 ,0.9662 ,0.9941 ,0.0338 ,0.0059 ,0.9760 ,0.9916 ,0.9711 ,
58,0.0182 ,0.0056 ,0.0029 ,0.0029 ,0.0031 ,0.0036 ,1531,1599,6364,6396,1059.27 ,,68,32,,0.9875 ,0.9575 ,0.9950 ,0.0425 ,0.0050 ,0.9795 ,0.9894 ,0.9684 ,
59,0.0181 ,0.0057 ,0.0030 ,0.0026 ,0.0032 ,0.0036 ,1547,1599,6363,6396,1060.23 ,,52,33,,0.9894 ,0.9675 ,0.9948 ,0.0325 ,0.0052 ,0.9791 ,0.9919 ,0.9733 ,
60,0.0187 ,0.0058 ,0.0032 ,0.0027 ,0.0034 ,0.0037 ,1540,1599,6348,6396,1059.58 ,,59,48,,0.9866 ,0.9631 ,0.9925 ,0.0369 ,0.0075 ,0.9698 ,0.9908 ,0.9664 ,
61,0.0186 ,0.0058 ,0.0029 ,0.0029 ,0.0034 ,0.0036 ,1533,1599,6358,6396,1059.24 ,,66,38,,0.9870 ,0.9587 ,0.9941 ,0.0413 ,0.0059 ,0.9758 ,0.9897 ,0.9672 ,
62,0.0182 ,0.0056 ,0.0031 ,0.0027 ,0.0032 ,0.0037 ,1533,1599,6363,6396,1058.47 ,,66,33,,0.9876 ,0.9587 ,0.9948 ,0.0413 ,0.0052 ,0.9789 ,0.9897 ,0.9687 ,
63,0.0187 ,0.0059 ,0.0030 ,0.0028 ,0.0033 ,0.0037 ,1547,1599,6355,6396,1058.75 ,,52,41,,0.9884 ,0.9675 ,0.9936 ,0.0325 ,0.0064 ,0.9742 ,0.9919 ,0.9708 ,
64,0.0181 ,0.0057 ,0.0028 ,0.0027 ,0.0032 ,0.0037 ,1544,1599,6353,6396,1059.01 ,,55,43,,0.9877 ,0.9656 ,0.9933 ,0.0344 ,0.0067 ,0.9729 ,0.9914 ,0.9692 ,
65,0.0177 ,0.0053 ,0.0027 ,0.0029 ,0.0034 ,0.0035 ,1544,1599,6363,6396,1058.90 ,,55,33,,0.9890 ,0.9656 ,0.9948 ,0.0344 ,0.0052 ,0.9791 ,0.9914 ,0.9723 ,
66,0.0180 ,0.0057 ,0.0028 ,0.0029 ,0.0033 ,0.0034 ,1538,1599,6363,6396,1061.07 ,,61,33,,0.9882 ,0.9619 ,0.9948 ,0.0381 ,0.0052 ,0.9790 ,0.9905 ,0.9703 ,
67,0.0178 ,0.0053 ,0.0027 ,0.0028 ,0.0033 ,0.0037 ,1545,1599,6355,6396,1058.50 ,,54,41,,0.9881 ,0.9662 ,0.9936 ,0.0338 ,0.0064 ,0.9741 ,0.9916 ,0.9702 ,
68,0.0184 ,0.0063 ,0.0029 ,0.0026 ,0.0031 ,0.0036 ,1539,1599,6346,6396,1059.56 ,,60,50,,0.9862 ,0.9625 ,0.9922 ,0.0375 ,0.0078 ,0.9685 ,0.9906 ,0.9655 ,
69,0.0174 ,0.0051 ,0.0028 ,0.0028 ,0.0031 ,0.0036 ,1546,1599,6373,6396,1058.57 ,,53,23,,0.9905 ,0.9669 ,0.9964 ,0.0331 ,0.0036 ,0.9853 ,0.9918 ,0.9760 ,
70,0.0179 ,0.0055 ,0.0029 ,0.0027 ,0.0032 ,0.0035 ,1543,1599,6357,6396,1059.00 ,,56,39,,0.9881 ,0.9650 ,0.9939 ,0.0350 ,0.0061 ,0.9753 ,0.9913 ,0.9701 ,
71,0.0173 ,0.0052 ,0.0026 ,0.0028 ,0.0033 ,0.0034 ,1541,1599,6366,6396,1059.16 ,,58,30,,0.9890 ,0.9637 ,0.9953 ,0.0363 ,0.0047 ,0.9809 ,0.9910 ,0.9722 ,
72,0.0174 ,0.0051 ,0.0029 ,0.0028 ,0.0031 ,0.0035 ,1546,1599,6369,6396,1058.95 ,,53,27,,0.9900 ,0.9669 ,0.9958 ,0.0331 ,0.0042 ,0.9828 ,0.9917 ,0.9748 ,
73,0.0182 ,0.0060 ,0.0027 ,0.0030 ,0.0031 ,0.0034 ,1544,1599,6355,6396,1059.29 ,,55,41,,0.9880 ,0.9656 ,0.9936 ,0.0344 ,0.0064 ,0.9741 ,0.9914 ,0.9698 ,
74,0.0185 ,0.0056 ,0.0028 ,0.0030 ,0.0036 ,0.0036 ,1546,1599,6351,6396,1060.93 ,,53,45,,0.9877 ,0.9669 ,0.9930 ,0.0331 ,0.0070 ,0.9717 ,0.9917 ,0.9693 ,
75,0.0173 ,0.0051 ,0.0028 ,0.0027 ,0.0032 ,0.0034 ,1546,1599,6357,6396,1059.28 ,,53,39,,0.9885 ,0.9669 ,0.9939 ,0.0331 ,0.0061 ,0.9754 ,0.9917 ,0.9711 ,
76,0.0182 ,0.0058 ,0.0028 ,0.0028 ,0.0032 ,0.0036 ,1540,1599,6361,6396,1059.32 ,,59,35,,0.9882 ,0.9631 ,0.9945 ,0.0369 ,0.0055 ,0.9778 ,0.9908 ,0.9704 ,
77,0.0176 ,0.0059 ,0.0025 ,0.0027 ,0.0030 ,0.0035 ,1538,1599,6351,6396,1058.67 ,,61,45,,0.9867 ,0.9619 ,0.9930 ,0.0381 ,0.0070 ,0.9716 ,0.9905 ,0.9667 ,
78,0.0173 ,0.0054 ,0.0028 ,0.0026 ,0.0030 ,0.0035 ,1541,1599,6356,6396,1058.82 ,,58,40,,0.9877 ,0.9637 ,0.9937 ,0.0363 ,0.0063 ,0.9747 ,0.9910 ,0.9692 ,
79,0.0178 ,0.0059 ,0.0026 ,0.0025 ,0.0031 ,0.0037 ,1542,1599,6358,6396,1058.71 ,,57,38,,0.9881 ,0.9644 ,0.9941 ,0.0356 ,0.0059 ,0.9759 ,0.9911 ,0.9701 ,
80,0.0180 ,0.0052 ,0.0029 ,0.0029 ,0.0032 ,0.0038 ,1543,1599,6361,6396,1059.96 ,,56,35,,0.9886 ,0.9650 ,0.9945 ,0.0350 ,0.0055 ,0.9778 ,0.9913 ,0.9714 ,
81,0.0176 ,0.0057 ,0.0025 ,0.0029 ,0.0030 ,0.0035 ,1536,1599,6356,6396,1060.14 ,,63,40,,0.9871 ,0.9606 ,0.9937 ,0.0394 ,0.0063 ,0.9746 ,0.9902 ,0.9676 ,
82,0.0177 ,0.0059 ,0.0027 ,0.0027 ,0.0032 ,0.0033 ,1542,1599,6358,6396,1058.91 ,,57,38,,0.9881 ,0.9644 ,0.9941 ,0.0356 ,0.0059 ,0.9759 ,0.9911 ,0.9701 ,
83,0.0176 ,0.0055 ,0.0029 ,0.0026 ,0.0031 ,0.0034 ,1529,1599,6361,6396,1058.68 ,,70,35,,0.9869 ,0.9562 ,0.9945 ,0.0438 ,0.0055 ,0.9776 ,0.9891 ,0.9668 ,
84,0.0181 ,0.0057 ,0.0026 ,0.0027 ,0.0034 ,0.0036 ,1539,1599,6353,6396,1058.52 ,,60,43,,0.9871 ,0.9625 ,0.9933 ,0.0375 ,0.0067 ,0.9728 ,0.9906 ,0.9676 ,
85,0.0173 ,0.0052 ,0.0030 ,0.0026 ,0.0031 ,0.0035 ,1537,1599,6366,6396,1059.28 ,,62,30,,0.9885 ,0.9612 ,0.9953 ,0.0388 ,0.0047 ,0.9809 ,0.9904 ,0.9709 ,
86,0.0185 ,0.0062 ,0.0027 ,0.0026 ,0.0034 ,0.0037 ,1534,1599,6346,6396,1059.18 ,,65,50,,0.9856 ,0.9593 ,0.9922 ,0.0407 ,0.0078 ,0.9684 ,0.9899 ,0.9639 ,
87,0.0181 ,0.0056 ,0.0029 ,0.0028 ,0.0033 ,0.0035 ,1530,1599,6364,6396,1058.89 ,,69,32,,0.9874 ,0.9568 ,0.9950 ,0.0432 ,0.0050 ,0.9795 ,0.9893 ,0.9680 ,
88,0.0178 ,0.0057 ,0.0026 ,0.0026 ,0.0034 ,0.0035 ,1542,1599,6358,6396,1058.23 ,,57,38,,0.9881 ,0.9644 ,0.9941 ,0.0356 ,0.0059 ,0.9759 ,0.9911 ,0.9701 ,
89,0.0175 ,0.0056 ,0.0028 ,0.0028 ,0.0031 ,0.0032 ,1544,1599,6351,6396,1058.24 ,,55,45,,0.9875 ,0.9656 ,0.9930 ,0.0344 ,0.0070 ,0.9717 ,0.9914 ,0.9686 ,
90,0.0179 ,0.0056 ,0.0029 ,0.0026 ,0.0031 ,0.0036 ,1542,1599,6349,6396,1057.77 ,,57,47,,0.9870 ,0.9644 ,0.9927 ,0.0356 ,0.0073 ,0.9704 ,0.9911 ,0.9674 ,
91,0.0166 ,0.0050 ,0.0027 ,0.0025 ,0.0030 ,0.0034 ,1539,1599,6362,6396,1058.04 ,,60,34,,0.9882 ,0.9625 ,0.9947 ,0.0375 ,0.0053 ,0.9784 ,0.9907 ,0.9704 ,
92,0.0167 ,0.0049 ,0.0028 ,0.0027 ,0.0029 ,0.0033 ,1546,1599,6356,6396,1058.78 ,,53,40,,0.9884 ,0.9669 ,0.9937 ,0.0331 ,0.0063 ,0.9748 ,0.9917 ,0.9708 ,
93,0.0180 ,0.0059 ,0.0028 ,0.0028 ,0.0032 ,0.0033 ,1542,1599,6358,6396,1058.66 ,,57,38,,0.9881 ,0.9644 ,0.9941 ,0.0356 ,0.0059 ,0.9759 ,0.9911 ,0.9701 ,
94,0.0177 ,0.0053 ,0.0027 ,0.0027 ,0.0032 ,0.0037 ,1548,1599,6364,6396,1058.42 ,,51,32,,0.9896 ,0.9681 ,0.9950 ,0.0319 ,0.0050 ,0.9797 ,0.9920 ,0.9739 ,
95,0.0176 ,0.0056 ,0.0026 ,0.0027 ,0.0031 ,0.0035 ,1553,1599,6353,6396,1058.97 ,,46,43,,0.9889 ,0.9712 ,0.9933 ,0.0288 ,0.0067 ,0.9731 ,0.9928 ,0.9721 ,
96,0.0168 ,0.0049 ,0.0026 ,0.0026 ,0.0031 ,0.0035 ,1552,1599,6361,6396,1058.56 ,,47,35,,0.9897 ,0.9706 ,0.9945 ,0.0294 ,0.0055 ,0.9779 ,0.9927 ,0.9743 ,
97,0.0167 ,0.0051 ,0.0027 ,0.0026 ,0.0030 ,0.0033 ,1545,1599,6362,6396,1057.91 ,,54,34,,0.9890 ,0.9662 ,0.9947 ,0.0338 ,0.0053 ,0.9785 ,0.9916 ,0.9723 ,
98,0.0172 ,0.0050 ,0.0028 ,0.0028 ,0.0032 ,0.0034 ,1543,1599,6359,6396,1058.16 ,,56,37,,0.9884 ,0.9650 ,0.9942 ,0.0350 ,0.0058 ,0.9766 ,0.9913 ,0.9707 ,
